dia,S,I,R
0,990000,10000,0
1,967497,31310,1193
2,931455,63717,4828
3,882171,105499,12330
4,820005,155200,24795
5,746900,209802,43298
6,665858,265899,68243
7,581151,318831,100018
8,496246,365409,138345
9,415159,402556,182285
10,340451,429277,230272
11,273782,444195,282023
12,216695,447898,335407
13,168937,441467,389596
14,129921,427109,442970
15,98728,406643,494629
16,74254,381748,543998
17,55608,353951,590441
18,41476,325106,633418
19,30791,296495,672714
20,22951,268652,708397
21,17105,242137,740758
22,12856,217119,770025
23,9742,194185,796073
24,7447,173018,819535
25,5825,153784,840391
26,4682,136229,859089
27,3873,120448,875679
28,3303,106243,890454
29,2915,93568,903517
30,2634,82345,915021
31,2436,72348,925216
32,2303,63630,934067
33,2191,56006,941803
34,2112,49338,948550
35,2074,43473,954453
36,2042,38324,959634
37,2021,33798,964181
38,2005,29891,968104
39,1993,26400,971607
40,1983,23301,974716
41,1977,20575,977448
42,1974,18172,979854
43,1972,16043,981985
44,1969,14141,983890
45,1968,12437,985595
46,1968,10934,987098
47,1968,9620,988412
48,1968,8488,989544
49,1968,7499,990533
50,1967,6597,991436
51,1967,5805,992228
52,1966,5100,992934
53,1966,4501,993533
54,1966,3972,994062
55,1966,3512,994522
56,1966,3110,994924
57,1966,2720,995314
58,1966,2397,995637
59,1966,2097,995937
60,1966,1850,996184
61,1966,1612,996422
62,1966,1416,996618
63,1966,1249,996785
64,1966,1100,996934
65,1966,971,997063
66,1966,833,997201
67,1966,723,997311
68,1966,623,997411
69,1966,542,997492
70,1966,466,997568
71,1966,401,997633
72,1966,353,997681
73,1966,308,997726
74,1966,273,997761
75,1966,242,997792
76,1966,214,997820
77,1966,196,997838
78,1966,184,997850
79,1966,163,997871
80,1966,149,997885
81,1966,134,997900
82,1966,128,997906
83,1966,119,997915
84,1966,107,997927
85,1966,95,997939
86,1966,85,997949
87,1966,73,997961
88,1966,65,997969
89,1966,59,997975
90,1966,51,997983
91,1966,42,997992
92,1966,35,997999
93,1966,26,998008
94,1966,20,998014
95,1966,15,998019
96,1966,12,998022
97,1966,8,998026
98,1966,4,998030
99,1966,2,998032
100,1966,1,998033
101,1966,1,998033
102,1966,1,998033
103,1966,0,998034
104,1966,0,998034
105,1966,0,998034
106,1966,0,998034
107,1966,0,998034
108,1966,0,998034
109,1966,0,998034
110,1966,0,998034
111,1966,0,998034
112,1966,0,998034
113,1966,0,998034
114,1966,0,998034
115,1966,0,998034
116,1966,0,998034
117,1966,0,998034
118,1966,0,998034
119,1966,0,998034
120,1966,0,998034
121,1966,0,998034
122,1966,0,998034
123,1966,0,998034
124,1966,0,998034
125,1966,0,998034
126,1966,0,998034
127,1966,0,998034
128,1966,0,998034
129,1966,0,998034
130,1966,0,998034
131,1966,0,998034
132,1966,0,998034
133,1966,0,998034
134,1966,0,998034
135,1966,0,998034
136,1966,0,998034
137,1966,0,998034
138,1966,0,998034
139,1966,0,998034
140,1966,0,998034
141,1966,0,998034
142,1966,0,998034
143,1966,0,998034
144,1966,0,998034
145,1966,0,998034
146,1966,0,998034
147,1966,0,998034
148,1966,0,998034
149,1966,0,998034
150,1966,0,998034
151,1966,0,998034
152,1966,0,998034
153,1966,0,998034
154,1966,0,998034
155,1966,0,998034
156,1966,0,998034
157,1966,0,998034
158,1966,0,998034
159,1966,0,998034
160,1966,0,998034
161,1966,0,998034
162,1966,0,998034
163,1966,0,998034
164,1966,0,998034
165,1966,0,998034
166,1966,0,998034
167,1966,0,998034
168,1966,0,998034
169,1966,0,998034
170,1966,0,998034
