dia,S,I,R
0,990000,10000,0
1,967291,31438,1271
2,931374,63549,5077
3,882025,105335,12640
4,818945,155785,25270
5,745055,211095,43850
6,663297,267420,69283
7,577593,320690,101717
8,491874,367905,140221
9,409845,405993,184162
10,334411,432723,232866
11,267666,447489,284845
12,210317,450983,338700
13,162176,444658,393166
14,123167,430002,446831
15,92295,409417,498288
16,68701,383639,547660
17,50443,356092,593465
18,36882,326807,636311
19,27055,297521,675424
20,19705,269187,711108
21,14393,242059,743548
22,10662,216571,772767
23,7980,193018,799002
24,6034,171815,822151
25,4695,152873,842432
26,3761,135368,860871
27,3098,119712,877190
28,2656,105996,891348
29,2390,93325,904285
30,2178,82382,915440
31,2027,72628,925345
32,1926,63990,934084
33,1860,56318,941822
34,1811,49574,948615
35,1777,43711,954512
36,1756,38452,959792
37,1744,33820,964436
38,1739,29734,968527
39,1728,26082,972190
40,1725,22934,975341
41,1722,20167,978111
42,1720,17695,980585
43,1720,15574,982706
44,1718,13698,984584
45,1717,11991,986292
46,1717,10524,987759
47,1717,9296,988987
48,1716,8198,990086
49,1716,7218,991066
50,1716,6336,991948
51,1716,5592,992692
52,1716,4910,993374
53,1716,4308,993976
54,1716,3803,994481
55,1716,3353,994931
56,1716,2962,995322
57,1716,2587,995697
58,1716,2279,996005
59,1716,2013,996271
60,1716,1776,996508
61,1716,1562,996722
62,1716,1368,996916
63,1716,1202,997082
64,1716,1059,997225
65,1716,943,997341
66,1716,843,997441
67,1716,744,997540
68,1716,635,997649
69,1716,546,997738
70,1716,479,997805
71,1716,419,997865
72,1716,377,997907
73,1716,338,997946
74,1716,296,997988
75,1716,254,998030
76,1716,239,998045
77,1716,208,998076
78,1716,186,998098
79,1716,158,998126
80,1716,139,998145
81,1716,124,998160
82,1716,106,998178
83,1716,96,998188
84,1716,84,998200
85,1716,76,998208
86,1716,70,998214
87,1716,64,998220
88,1716,57,998227
89,1716,52,998232
90,1716,44,998240
91,1716,36,998248
92,1716,32,998252
93,1716,27,998257
94,1716,21,998263
95,1716,18,998266
96,1716,14,998270
97,1716,13,998271
98,1716,12,998272
99,1716,11,998273
100,1716,8,998276
101,1716,7,998277
102,1716,7,998277
103,1716,6,998278
104,1716,6,998278
105,1716,6,998278
106,1716,6,998278
107,1716,5,998279
108,1716,5,998279
109,1716,5,998279
110,1716,5,998279
111,1716,5,998279
112,1716,4,998280
113,1716,4,998280
114,1716,4,998280
115,1716,4,998280
116,1716,3,998281
117,1716,3,998281
118,1716,3,998281
